PATIENT,Cancer_Diagnosis_1,Outpatient_Sum,Checkup_Sum,Emergency_Sum,Hospital_Sum,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,DESCRIPTION_1,DESCRIPTION_2,DESCRIPTION_3,DESCRIPTION_4,DESCRIPTION_5,DESCRIPTION_6,DESCRIPTION_7,DESCRIPTION_8,DESCRIPTION_9,DESCRIPTION_10,DESCRIPTION_11,DESCRIPTION_12,DESCRIPTION_13,DESCRIPTION_14,DESCRIPTION_15,DESCRIPTION_16,DESCRIPTION_17,DIAG_YEAR_1,DIAG_YEAR_2,DIAG_YEAR_3,DIAG_YEAR_4,DIAG_YEAR_5,DIAG_YEAR_6,DIAG_YEAR_7,DIAG_YEAR_8,DIAG_YEAR_9,DIAG_YEAR_10,DIAG_YEAR_11,DIAG_YEAR_12,DIAG_YEAR_13,DIAG_YEAR_14,DIAG_YEAR_15,DIAG_YEAR_16,DIAG_YEAR_17,BIRTHYEAR,DEATHYEAR,AGE,Viral sinusitis (disorder),Acute viral pharyngitis (disorder),Acute bronchitis (disorder),Normal pregnancy,Otitis media,Streptococcal sore throat (disorder),Prediabetes,Sprain of ankle,Chronic sinusitis (disorder),Hypertension,Polyp of colon,Sinusitis (disorder),Acute bacterial sinusitis (disorder),Whiplash injury to neck,Concussion with no loss of consciousness,Coronary Heart Disease,Sprain of wrist,Escherichia coli urinary tract infection,Fracture of clavicle,Osteoporosis (disorder),Diabetes
79848bcd-d5e5-4476-8e47-54aaea6c1619,0.0,6,2,0,0,1949-06-16,,999-90-7779,S99979892,false,Mrs.,Ines281,Torphy273,,Boyle754,M,white,english,F,Lawrence MA US,831 Danial Manors Suite 930 Revere MA 02151 US,Polyp of colon,Acute bronchitis (disorder),Acute bronchitis (disorder),Viral sinusitis (disorder),Viral sinusitis (disorder),,,,,,,,,,,,,2009.0,2011.0,2012.0,2015.0,2015.0,,,,,,,,,,,,,1949.0,,67.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
847c8240-a022-478d-8dc5-033f2c3aebb1,0.0,2,0,0,0,1984-01-31,,999-83-9222,S99913468,X45694323X,Mrs.,Dameon961,Willms420,,Boyle640,M,black,african,F,Bourne MA US,840 Kulas Port Apt. 336 Melrose MA 02176 US,Acute viral pharyngitis (disorder),,,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,1984.0,,32.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8552c223-e16d-443c-b281-c491b6265aa1,0.0,9,0,0,0,2008-11-27,,999-80-3858,,,,Jean604,Abshire861,,,,white,french,F,North Adams MA US,582 Hortense Bridge Suite 794 Quincy MA 02170 US,Viral sinusitis (disorder),Otitis media,Otitis media,Sinusitis (disorder),Chronic sinusitis (disorder),Otitis media,,,,,,,,,,,,2011.0,2012.0,2012.0,2012.0,2012.0,2014.0,,,,,,,,,,,,2008.0,,8.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
a7c0856b-e967-4df9-ad71-bf91e6898f91,0.0,5,1,2,0,1994-08-11,,999-71-4605,S99915136,false,Mr.,Mikel691,Pollich231,,,,white,italian,M,Fall River MA US,941 Grady Freeway Suite 110 Amesbury MA 01913 US,Sprain of ankle,Acute bronchitis (disorder),Fracture of ankle,Acute bronchitis (disorder),,,,,,,,,,,,,,2011.0,2012.0,2012.0,2013.0,,,,,,,,,,,,,,1994.0,,22.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
da10769b-0785-404b-a0ee-b7194120929b,0.0,6,0,0,0,2006-05-29,,999-27-1295,,,,Cordie416,Denesik147,,,,white,german,M,Westfield MA US,500 Lueilwitz Lake Apt. 401 Webster MA 01570 US,Acute bronchitis (disorder),Viral sinusitis (disorder),,,,,,,,,,,,,,,,2011.0,2014.0,,,,,,,,,,,,,,,,2006.0,,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f584c76f-da01-4c4f-a9c8-e3e8dd621ecf,0.0,2,1,1,0,01/09/1977,,999-52-6676,S99914652,FALSE,Mr.,Roel757,Baumbach704,,,M,white,portuguese,M,Barnstable Town MA US,23041 Harvey Locks Apt. 298 Taunton MA 02780 US,Concussion with no loss of consciousness,,,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,1977.0,,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8c31d9ad-a1d9-4675-a25f-b2c47905b937,0.0,2,0,0,0,25/10/1988,,999-10-9618,S99948396,X71432400X,Mrs.,Eulah295,Lesch922,,Blick189,M,white,portuguese,F,Andover MA US,75242 Pouros Dale Somerville MA 02144 US,Viral sinusitis (disorder),,,,,,,,,,,,,,,,,2011.0,,,,,,,,,,,,,,,,,1988.0,,28.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57ada246-194e-4c6d-862c-ff16b3881724,0.0,6,2,1,0,1942-01-04,,999-80-5958,S99993030,false,Mrs.,Jamaal147,Koelpin587,,Ankunding650,M,white,german,F,Plymouth MA US,820 Zander Expressway Apt. 736 Holyoke MA 01041 US,Viral sinusitis (disorder),Fracture of clavicle,Acute bronchitis (disorder),,,,,,,,,,,,,,,2013.0,2014.0,2015.0,,,,,,,,,,,,,,,1942.0,,74.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6a6b58dc-fc9c-4fb7-b8af-3c974e55eade,0.0,5,0,0,0,1997-12-11,,999-64-6531,S99961394,,Mr.,Rylee114,Green689,,,,white,irish,M,Dedham MA US,593 Cole Parkway Melrose MA 02176 US,Acute bronchitis (disorder),,,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,1997.0,,19.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fe4cebcc-f2ae-496b-97a2-de2db5b35cca,0.0,5,1,1,0,09/07/1952,,999-84-8572,S99983418,FALSE,Mrs.,Darion112,Beatty236,,Pollich676,M,white,english,F,Worcester MA US,9422 DuBuque Vista Apt. 263 Melrose MA 02176 US,Osteoarthritis of knee,Laceration of foot,,,,,,,,,,,,,,,,2009.0,2010.0,,,,,,,,,,,,,,,,1952.0,,64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6c73dd96-5389-4865-8170-e291a2eeaf9d,0.0,5,0,0,0,2004-11-30,,999-75-1763,,,,Isadore110,Bruen244,,,,white,irish,F,West Springfield Town MA US,49929 Collins Mill Suite 676 Bedford MA 01730 US,Viral sinusitis (disorder),,,,,,,,,,,,,,,,,2015.0,,,,,,,,,,,,,,,,,2004.0,,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57065bf0-782e-4734-b4df-e74711d846db,0.0,2,1,1,0,1969-08-06,,999-76-8222,S99942944,false,Mrs.,Kris188,Hegmann547,,Dietrich907,M,white,irish,F,Boston MA US,98912 Murray Grove Woburn MA 01815 US,Second degree burn,Viral sinusitis (disorder),,,,,,,,,,,,,,,,2012.0,2013.0,,,,,,,,,,,,,,,,1969.0,,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
